level,date,state_fips,state_postal_code,county_fips,county_name,population_staying_at_home,population_not_staying_at_home,number_of_trips,number_of_trips_<1,number_of_trips_1-3,number_of_trips_3-5,number_of_trips_5-10,number_of_trips_10-25,number_of_trips_25-50,number_of_trips_50-100,number_of_trips_100-250,number_of_trips_250-500,number_of_trips_>=500,row_id,week,month
County,2021-06-18,06,CA,06083,Santa Barbara County,93557,352942,1332230,392956,363439,171382,156460,146805,65853,22687,10072,1771,805,06-06083-20210618,24,6
County,2021-06-19,06,CA,06083,Santa Barbara County,96433,350066,1188766,332242,329990,144727,140729,139265,72478,17177,10049,1562,547,06-06083-20210619,24,6
County,2019-01-22,06,CA,06083,Santa Barbara County,85640,360859,1696259,495230,516850,213726,199857,141818,78801,33561,12856,1857,1703,06-06083-20190122,3,1
County,2019-01-23,06,CA,06083,Santa Barbara County,85489,361010,1643343,479705,487479,203543,207414,139463,74824,34050,13153,1990,1722,06-06083-20190123,3,1
County,2019-01-24,06,CA,06083,Santa Barbara County,86060,360439,1673634,488092,487141,217961,203469,141771,82766,34712,13492,2264,1966,06-06083-20190124,3,1
County,2019-01-25,06,CA,06083,Santa Barbara County,84818,361681,1657996,477898,489515,212068,205880,136169,80356,38302,13787,2282,1739,06-06083-20190125,3,1
County,2019-01-26,06,CA,06083,Santa Barbara County,88876,357623,1684105,474956,510903,218045,199327,141629,82177,39399,13867,2187,1615,06-06083-20190126,3,1
County,2019-01-27,06,CA,06083,Santa Barbara County,94206,352293,1546617,435554,468961,198499,179359,130798,80345,35199,14365,1933,1604,06-06083-20190127,4,1
County,2019-01-28,06,CA,06083,Santa Barbara County,91116,355383,1637309,505791,472920,193997,201839,136199,76950,33534,12636,1880,1563,06-06083-20190128,4,1
County,2019-01-29,06,CA,06083,Santa Barbara County,91218,355281,1603761,482553,465336,197440,197220,135113,78249,32155,12067,2045,1583,06-06083-20190129,4,1
County,2019-01-30,06,CA,06083,Santa Barbara County,90304,356195,1585904,489465,456988,190953,191044,132305,77429,32708,11770,1901,1341,06-06083-20190130,4,1
County,2019-01-31,06,CA,06083,Santa Barbara County,88140,358359,1638692,538193,473551,186444,192204,130058,72769,30897,11559,1702,1315,06-06083-20190131,4,1
County,2019-02-01,06,CA,06083,Santa Barbara County,88623,357876,1646105,531670,462615,200230,192985,132568,76879,33625,12493,1634,1406,06-06083-20190201,4,2
County,2019-02-02,06,CA,06083,Santa Barbara County,94030,352469,1671773,579604,484695,205031,173891,125049,63272,26179,11167,1645,1240,06-06083-20190202,4,2
County,2019-02-03,06,CA,06083,Santa Barbara County,96551,349948,1479075,461060,443533,185103,164124,122120,65243,24347,10627,1656,1262,06-06083-20190203,5,2
